ID de alumno	,		Ejercicio 5 , Comentarios
200814869		,	5	,
201512777		,	1.5	,No implementa la función correctamente y tampoco la llama
201613163		,	1.5	,No hay recursividad, la función no hace lo que debería, no sirve
201613222		,	5	,
201531067		,	2	,Varios errores de sintaxis en la función y en la impresión, el código no corre
201620754		,	2	,La función no sirve, se sale del rango
201423499		,	5   ,	
201615104		,	2	,No define bien la función
201623999		,	NA	,
201514441		,	1.5	,Errores de identación e implementación, el código no corre
201616268		,	5	,
201513645		,	1.5	,No sirve la función de bisección, index out of bound, error de sintaxis, etc
201515360		,	1	,No lee bien la lista ni define bien las funciones
201316966		,	1.5	,Varios errores de sintaxis 
