ID de alumno,Diagnostico (/5),Taller 3 (/5),Taller 8 (/5),Taller 9 (/5),Final (/5),Definitiva,Comentarios Taller 9
201512756,5,0,2.5,2,,,"3,4. No estan"
201519648,5,3.5,0,2.3,,,"1. Funcion mal definida 3,4. No define segunda derivada, grafica incompleta. No calcula Newton"
201613444,5,5,5,5,,,
201514994,5,5,5,5,,,
201224021,5,0,4.5,4.8,,,4. Falta grafica de derivada
201619132,5,5,5,0,,,
201511835,5,5,1.7,3.5,,,
201631487,5,5,5,5,,,
201615563,5,3,4.3,4,,,1. Derivada mal definida (parentesis) 4. Mala condicion inicial
201616584,5,5,5,4.8,,,4. Falta grafica de derivada
201514616,5,4.7,0,2.5,,,1. Funcion mal definida. 3. No define segunda derivada. 4. No hay graficas. Resultado invalido.
201512298,5,3,5,5,,,
201023855,5,0,0,0,,,
201617653,5,5,5,5,,,
201617671,5,5,5,5,,,
201216512,5,5,5,5,,,
201414968,5,5,0,0,,,
201618246,5,3.7,2.5,2.4,,,2. Funcion mal definida. 3. Funcion mal definida. 4. No hay graficas ni calculo
