"nome,naz, team, tempo.1, tempo.2, tempo.3, tempo.4, tempo.5, tempo.6
"AGNOLI Valerio,ITA, AST, 1520, 20315, 36438, 44964, 63942, 87940
"ALAFACI Eugenio,ITA, TFR, 1728, 20523, 36657, 45183, 64659, 89388
"AMADOR Andrey,CRC, MOV, 1537, 20332, 36466, 44992, 64309, 89462
"ANACONA GOMEZ Winner,COL, LAM, 1562, 20357, 36491, 45017, 63989, 88076
"ANTON Igor,ESP, MOV, 1734, 20529, 36663, 45189, 64506, 88593
"APPOLLONIO Davide,ITA, ALM, 1540, 20332, 36455, 44981, 64635, 89038
"ARASHIRO Yukiya,JPN, EUC, 1590, 20385, 36519, 45045, 64437, 88778
"ARMEE Sander,BEL, LTB, 1740, 20533, 36667, 45193, 64324, 88248
"ARREDONDO MORENO Julian David,COL, TFR, 1542, 20337, 36471, 44997, 63753, 88684
"ARU Fabio,ITA, AST, 1520, 20315, 36449, 44975, 63735, 87605
"AVILA VANEGAS Edwin Alcibiad,COL, COL, 1565, 20357, 36480, 45006, 64653, 89046
"BAK Lars Ytting,DEN, LTB, 1576, 20371, 36505, 45031, 64507, 88594
"BANDIERA Marco,ITA, AND, 1590, 20385, 36519, 45045, 64692, 89793
"BARBIN Enrico,ITA, BAR, 1549, 20344, 36478, 45004, 64125, 89221
"BASSO Ivan,ITA, CAN, 1535, 20330, 36464, 44990, 63750, 87620
"BATTAGLIN Enrico,ITA, BAR, 1549, 20344, 36478, 45004, 63880, 87818
"BELKOV Maxim,RUS, KAT, 1611, 20406, 36540, 45066, 64542, 89205
"BELLETTI Manuel,ITA, AND, 1630, 20422, 36545, 45071, 64718, 89447
"BEPPU Fumiyuki,JPN, TFR, 1542, 20337, 36460, 44986, 64117, 88843
"BERARD Julien,FRA, ALM, 1737, 20532, 36666, 45192, 64323, 88360
"BOASSON HAGEN Edvald,NOR, SKY, 1517, 20309, 36432, 44958, 63718, 88719
"BOEM Nicola,ITA, BAR, 1549, 20344, 36478, 45004, 64651, 89138
"BOL Jetse,NED, BEL, 1543, 20335, 37036, 45562, 65209, 90118
"BONGIORNO Francesco Manuel,ITA, BAR, 1549, 20344, 36478, 45004, 63924, 87794
"BONO Matteo,ITA, LAM, 1790, 20585, 36719, 45245, 64209, 88296
"BOOKWALTER Brent,USA, BMC, 1646, 20441, 36718, 45244, 64720, 89207
"BOUET Maxime,FRA, ALM, 1540, 20335, 36469, 44995, 63755, 87625
"BOUHANNI Nacer,FRA, FDJ, 1560, 20346, 36469, 44995, 64642, 89371
"BOZIC Borut,SLO, AST, 1520, 20315, 36438, 44964, 64611, 88885
"BRAJKOVIC Janez,SVN, AST, 1520, 20315, 36449, 44975, 63768, NA
"BRAMBILLA Gianluca,ITA, OPQ, 1487, 20282, 36416, 44942, 63750, 87660
"CANOLA Marco,ITA, BAR, 1549, 20344, 36478, 45004, 63859, 88955
"CAPECCHI Eros,ITA, MOV, 1537, 20332, 36466, 44992, 64468, 88386
"CARDOSO Andre Fernando S,POR, GRS, 1839, 20634, 36768, 45294, 64266, 88184
"CARRETERO Ramon,PAN, NRI, 1844, 20858, 37800, 46379, 66710, 91373
"CARUSO Giampaolo,ITA, KAT, 1797, 20592, 36726, 45252, 64141, NA
"CASTROVIEJO Jonathan,ESP, MOV, 1667, 20462, 36596, 45122, 64598, 89751
"CATALDO Dario,ITA, SKY, 1517, 20312, 36446, 44972, 63732, 87650
"CATTANEO Mattia,ITA, LAM, 1615, 20410, 36544, 45070, 64201, 88930
"CECCHINEL Giorgio,ITA, NRI, 1543, 20414, 36739, 45265, 64919, NA
"CHALAPUD GOMEZ Robinson E.,COL, COL, 1759, 20554, 36688, 45214, 64531, 88413
"CHAVANEL S̩bastien,FRA, FDJ, 1745, 20540, 36674, 45200, 64847, 89576
"CHICCHI Francesco,ITA, NRI, 1543, 20335, 36458, 44984, 64631, 89294
"COLBRELLI Sonny,ITA, BAR, 1549, 20341, 36464, 44990, 63789, 88063
"COLLI Daniele,ITA, NRI, 1630, 20425, 36548, 45074, 64721, 89450
"COURTEILLE Arnaud,FRA, FDJ, 1745, 20540, 36865, 45391, 65722, 90451
"CUNEGO Damiano,ITA, LAM, 1562, 20357, 36491, 45017, 63777, 87687
"DE BACKER Bert,BEL, GIA, 1683, 20478, 36651, 45177, 64653, 89056
"DE GENDT Thomas,BEL, OPQ, 1504, 20299, 36433, 44959, 64090, 88530
"DE HAES Kenny,BEL, LTB, 1814, 20609, 36732, 45258, 64905, 89906
"DEIGNAN Philip,IRL, SKY, 1517, 20312, 36446, 44972, 64289, 88573
"DEKKER Thomas,NED, GRS, 1688, 20483, 36617, 45143, 64369, 88505
"DOCKER Mitchell,AUS, OGE, 1755, 20550, 36748, 45274, 65025, 89572
"DOCKX Gert,BEL, LTB, 1807, 20602, 36922, 45448, 64840, 89327
"DOMONT Axel,FRA, ALM, 1673, 20468, 36602, 45128, 64259, 88257
"DUARTE AREVALO Fabio Andres,COL, COL, 1565, 20360, 36494, 45020, 63827, 87697
"DUPONT Hubert,FRA, ALM, 1540, 20335, 36469, 44995, 63812, 87722
"DUQUE Leonardo Fabio,COL, COL, 1565, 20357, 36480, 45006, 64155, 88439
"DURBRIDGE Luke,AUS, OGE, 1482, 20277, 36411, 44937, 63873, 87963
