"ano","mes","sum(totalartefactosdestruidos)","areadespejada"
2005,12,400,4831
2006,9,58,6739.72
2006,11,41,8090.52
2007,6,64,10946.07
2007,9,278,23283.57
2007,10,0,23283.57
2007,11,26,27186.57
2007,12,340,42230.06
2008,3,19,51888.96
2008,5,13,61629.66
2008,6,0,63187.31
2008,9,69,74154.51
2008,10,103,76592.41
2008,11,264,164555.51
2009,3,575,184892.76
2009,4,53,207323.15
2009,5,0,208128.15
2009,6,0,209400.15
2009,7,10,219372.65
2009,8,615,243653.4
2009,10,8,248811.4
2009,11,247,277570.83
2009,12,86,283716.02
2010,2,7,289016.02
2010,3,33,302639.32
2010,4,691,361475.81
2010,6,13,367889.81
2010,7,84,423994.01
2010,8,96,502182.01
2010,9,4,504796.61
2010,10,15,519262.11
2010,11,9,546657.16
2010,12,15,579311.16
2011,2,0,581569.16
2011,3,3,588657.86
2011,4,36,627952.36
2011,5,41,674200.36
2011,6,23,703908.71
2011,7,4,725973.71
2011,8,16,772315.21
2011,9,12,813908.03
2011,10,29,846372.03
2011,11,18,887809.03
2011,12,23,915098.03
2012,3,0,921506.03
2012,4,15,959468.03
2012,5,17,992800.03
2012,6,13,1003930.03
2012,7,9,1035224.03
2012,8,17,1065093.03
2012,9,14,1101812.03
2012,10,6,1122270.03
2012,11,24,1151837.03
2012,12,51,1170108.03
2013,2,1,1170508.03
2013,3,26,1190248.03
2013,4,4,1232459.03
2013,5,22,1272287.03
2013,6,21,1338301.03
2013,7,17,1360056.03
2013,8,14,1412041.03
2013,9,9,1445112.03
2013,10,16,1489532.03
2013,11,22,1564805.03
2013,12,18,1638146.03
2014,2,1,1638146.03
2014,3,32,1674768.03
2014,4,10,1703543.03
2014,5,13,1739358.03
2014,6,20,1796739.03
2014,7,46,1860484.03
2014,8,13,1906131.03
2014,9,5,2008917.03
2014,10,60,2080369.03
2014,11,5,2116668.03
2014,12,24,2170631.03
